sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,1920,1080,cycle,0,0.07406450808048248,0.10694340616464615,0.39566218852996826,0.9499022960662842,0.035992398858070374,0.1923907846212387,0.9551936388015747,0.040374547243118286,0.06608780473470688,122,69,none,grey,609,179,191,2.008579969406128,0.0008506740559823811,0.0006857647094875574,0.00013425858924165368,30,30,30,0.16210127564388738,0.22738816035526424,64,4,16,473.6
hard_1mm_r1,1280,720,cycle,0,0.09753645956516266,0.12993799149990082,0.39566218852996826,0.9260425567626953,0.03983286768198013,0.1923907846212387,0.9442325830459595,0.047676168382167816,0.06085614860057831,122,69,none,grey,609,179,191,2.008579969406128,0.0008976056124083698,0.0007363992626778781,0.00013542239321395755,30,30,25,0.2099298217222217,0.23145531675669068,64,11,6,205.6
hard_1mm_r1,854,480,cycle,0,0.07299520820379257,0.10873141884803772,0.39566218852996826,0.9482131004333496,0.04443243518471718,0.1923907846212387,0.9409970045089722,0.04252417013049126,0.06156636029481888,122,69,none,grey,609,179,191,2.008579969406128,0.0006898009451106191,0.0006849765777587891,0.00014933664351701736,30,30,25,0.1516328961978405,0.2272194657245828,64,24,3,93.7
hard_1mm_r1,640,360,cycle,0,0.06399120390415192,0.09688933938741684,0.39566218852996826,0.9588791728019714,0.032654114067554474,0.1923907846212387,0.9646614193916321,0.04045088589191437,0.055330272763967514,122,69,none,grey,609,179,191,2.008579969406128,0.0010723774321377277,0.0005537113756872714,0.00014116156671661884,30,30,27,0.14525766012508098,0.22585776997678106,64,44,1,52.0
hard_1mm_r1,426,240,cycle,0,0.09845210611820221,0.12876468896865845,0.39566218852996826,0.9273720979690552,0.03617607802152634,0.1923907846212387,0.9552483558654785,0.040056440979242325,0.08291637897491455,122,69,none,grey,609,179,191,2.008579969406128,0.0007051769061945379,0.0006051851669326425,0.0001348157529719174,30,30,29,0.17014130778696346,0.2341556655628055,64,64,1,24.8
hard_1mm_r1,320,180,cycle,0,0.09926731139421463,0.12709076702594757,0.39566218852996826,0.9292481541633606,0.029873618856072426,0.1923907846212387,0.9663459658622742,0.03755664825439453,0.09458719938993454,122,69,none,grey,609,179,191,2.008579969406128,0.0007315497496165335,0.000614160904660821,0.00014225680206436664,30,30,27,0.11692182575344844,0.23362412266225122,64,64,1,14.7
hard_1mm_r1,160,90,cycle,0,0.060010410845279694,0.09010816365480423,0.39566218852996826,0.9644337296485901,0.031761929392814636,0.1923907846212387,0.9652992486953735,0.04076741635799408,0.05097020044922829,122,69,none,grey,609,179,191,2.008579969406128,0.0006293567712418735,0.0007162733818404377,0.0001554091286379844,30,30,27,0.1714207879428206,0.20970094137351605,64,64,1,5.4
hard_1mm_r1,80,45,cycle,0,0.06936504691839218,0.10245520621538162,0.39566218852996826,0.9540190696716309,0.0382249541580677,0.1923907846212387,0.943844199180603,0.04842657223343849,0.060650087893009186,122,69,none,grey,609,179,191,2.008579969406128,0.0008150077774189413,0.0005777939804829657,0.00013991404557600617,30,30,27,0.22838801116191695,0.21365947829944462,64,64,1,3.5
hard_1mm_r1,48,27,cycle,0,0.08522247523069382,0.1347324550151825,0.39566218852996826,0.9204840660095215,0.04349372908473015,0.1923907846212387,0.9246101379394531,0.05689742788672447,0.06458468735218048,122,69,none,grey,609,179,191,2.008579969406128,0.0009937514550983906,0.0007810727693140507,0.00013118049537297338,30,30,26,0.25012430651434536,0.2357318920796144,64,64,1,3.3
hard_1mm_r1,32,18,cycle,0,0.08933663368225098,0.12946371734142303,0.39566218852996826,0.9265814423561096,0.04639333114027977,0.1923907846212387,0.9038328528404236,0.062411073595285416,0.07193362712860107,122,69,none,grey,609,179,191,2.008579969406128,0.0008785392856225371,0.0006894037942402065,0.00014004822878632694,30,30,29,0.2723750426068486,0.24198745216071274,64,64,1,4.0
